Monat;Anzahl
2000-01-01;40472
2000-02-01;38999
2000-03-01;42513
2000-04-01;42107
2000-05-01;44244
2000-06-01;42727
2000-07-01;45513
2000-08-01;45268
2000-09-01;43334
2000-10-01;44233
2000-11-01;40855
2000-12-01;39319
2001-01-01;42093
2001-02-01;38390
2001-03-01;42867
2001-04-01;41122
2001-05-01;42809
2001-06-01;41944
2001-07-01;43829
2001-08-01;43573
2001-09-01;41764
2001-10-01;36251
2001-11-01;34198
2001-12-01;33221
2002-01-01;35751
2002-02-01;33294
2002-03-01;37138
2002-04-01;36330
2002-05-01;37706
2002-06-01;37596
2002-07-01;40298
2002-08-01;39771
2002-09-01;37932
2002-10-01;39483
2002-11-01;35964
2002-12-01;35389
2003-01-01;36720
2003-02-01;34122
2003-03-01;38161
2003-04-01;33171
2003-05-01;33722
2003-06-01;33818
2003-07-01;36083
2003-08-01;35460
2003-09-01;34095
2003-10-01;34546
2003-11-01;29998
2003-12-01;30017
2004-01-01;31315
2004-02-01;30042
2004-03-01;32797
2004-04-01;32304
2004-05-01;32953
2004-06-01;33380
2004-07-01;35550
2004-08-01;34598
2004-09-01;34570
2004-10-01;35366
2004-11-01;32790
2004-12-01;31907
2005-01-01;33148
2005-02-01;31229
2005-03-01;34827
2005-04-01;34065
2005-05-01;34574
2005-06-01;34387
2005-07-01;35885
2005-08-01;35307
2005-09-01;34607
2005-10-01;34947
2005-11-01;30452
2005-12-01;31000
2006-01-01;32622
2006-02-01;30243
2006-03-01;33701
2006-04-01;32266
2006-05-01;33822
2006-06-01;33578
2006-07-01;34550
2006-08-01;33873
2006-09-01;33304
2006-10-01;33834
2006-11-01;30876
2006-12-01;31505
2007-01-01;32837
2007-02-01;30964
2007-03-01;34726
2007-04-01;33703
2007-05-01;34777
2007-06-01;34481
2007-07-01;35937
2007-08-01;35598
2007-09-01;34865
2007-10-01;35724
2007-11-01;32429
2007-12-01;32839
2008-01-01;34466
2008-02-01;33224
2008-03-01;35720
2008-04-01;35128
2008-05-01;36251
2008-06-01;36445
2008-07-01;37182
2008-08-01;36371
2008-09-01;35616
2008-10-01;36164
2008-11-01;31172
2008-12-01;31735
2009-01-01;32606
2009-02-01;30239
2009-03-01;34213
2009-04-01;33569
2009-05-01;33648
2009-06-01;33582
2009-07-01;35089
2009-08-01;34454
2009-09-01;34011
2009-10-01;34609
2009-11-01;31052
2009-12-01;31324
2010-01-01;32419
2010-02-01;30963
2010-03-01;35056
2010-04-01;28839
2010-05-01;34479
2010-06-01;35028
2010-07-01;36762
2010-08-01;36000
2010-09-01;35476
2010-10-01;36390
2010-11-01;32324
2010-12-01;31185
2011-01-01;35362
2011-02-01;32848
2011-03-01;37059
2011-04-01;35984
2011-05-01;37495
2011-06-01;36700
2011-07-01;38554
2011-08-01;37791
2011-09-01;37602
2011-10-01;37918
2011-11-01;32995
2011-12-01;34185
2012-01-01;34869
2012-02-01;33778
2012-03-01;37238
2012-04-01;35913
2012-05-01;37236
2012-06-01;37329
2012-07-01;39147
2012-08-01;38310
2012-09-01;37481
2012-10-01;37584
2012-11-01;32865
2012-12-01;33397
2013-01-01;34161
2013-02-01;32091
2013-03-01;36253
2013-04-01;36056
2013-05-01;37225
2013-06-01;36913
2013-07-01;39310
2013-08-01;38306
2013-09-01;37494
2013-10-01;37336
2013-11-01;32069
2013-12-01;32697
2014-01-01;33738
2014-02-01;31801
2014-03-01;36094
2014-04-01;36062
2014-05-01;37944
2014-06-01;38680
2014-07-01;40617
2014-08-01;40237
2014-09-01;39128
2014-10-01;39298
2014-11-01;32728
2014-12-01;33808
2015-01-01;34550
2015-02-01;32497
2015-03-01;36959
2015-04-01;37167
2015-05-01;38615
2015-06-01;38485
2015-07-01;41066
2015-08-01;40604
2015-09-01;39381
2015-10-01;39265
2015-11-01;32705
2015-12-01;34055
2016-01-01;34680
2016-02-01;34228
2016-03-01;37234
2016-04-01;37276
2016-05-01;39213
2016-06-01;38849
2016-07-01;41735
2016-08-01;41272
2016-09-01;40029
2016-10-01;39947
2016-11-01;33076
2016-12-01;35249
2017-01-01;35214
2017-02-01;33385
2017-03-01;37913
2017-04-01;38534
2017-05-01;39752
2017-06-01;39260
2017-07-01;41420
2017-08-01;40876
2017-09-01;39974
2017-10-01;40333
2017-11-01;32980
2017-12-01;34760
2018-01-01;35053
2018-02-01;33193
2018-03-01;37748
2018-04-01;38835
2018-05-01;39694
2018-06-01;39616
2018-07-01;42271
2018-08-01;42002
2018-09-01;40764
2018-10-01;41731
2018-11-01;34564
2018-12-01;36905
2019-01-01;36338
2019-02-01;34209
2019-03-01;39087
2019-04-01;39930
2019-05-01;40833
2019-06-01;40668
2019-07-01;42712
2019-08-01;42109
2019-09-01;40768
2019-10-01;40599
2019-11-01;32558
2019-12-01;35219
2020-01-01;34968
2020-02-01;33458
2020-03-01;20304
2020-04-01;1793
2020-05-01;2055
2020-06-01;3950
2020-07-01;13042
2020-08-01;16693
2020-09-01;13115
2020-10-01;11684
2020-11-01;6332
2020-12-01;8488
2021-01-01;7753
2021-02-01;5616
2021-03-01;6363
2021-04-01;8518
2021-05-01;9515
2021-06-01;12694
2021-07-01;23510
2021-08-01;25489
2021-09-01;22845
